name,picUrl,urlA,urlB,urlC
蛋堡,http://pic.xiami.net/images/artistlogo/47/13871146976747.jpg,http://pic.xiami.net/images/artistpic/2/62402/1257556729_BAox.jpg,http://pic.xiami.net/images/artistpic/2/62402/1257556741_qqDp.jpg,http://pic.xiami.net/images/artistpic/2/62402/1257556753_FLgt.jpg
MC HotDog,http://pic.xiami.net/images/artistlogo/67/14213916076167.jpg,http://pic.xiami.net/images/artistpic/24/724/1247315898_G9a0.jpg,http://pic.xiami.net/images/artistpic/24/724/1247316286_eCO3.jpg,http://pic.xiami.net/images/artistpic/24/724/1247316018_h8o9.jpg
黄崇�,http://pic.xiami.net/images/artistpic/69/369/1272969303_HgKE.jpg,http://pic.xiami.net/images/artistpic/69/369/1272969163_tgKN.jpg,http://pic.xiami.net/images/artistpic/69/369/1272969287_KJxx.jpg,http://pic.xiami.net/images/artist/11994408193700.jpg
国蛋,http://pic.xiami.net/images/artistlogo/26/14135345557826.jpg,http://pic.xiami.net/images/artistpic/26/78626/1289377173_6h9Y.jpg,http://pic.xiami.net/images/artistpic/26/78626/1289377141_D4pP.jpg,http://pic.xiami.net/images/artistpic/26/78626/1289377138_6EgE.jpg
E.SO,http://pic.xiami.net/images/artistlogo/10/14593229008710.jpg,http://pic.xiami.net/images/artistpic/35/86435/1384871915_L63v.jpg,http://pic.xiami.net/images/artistpic/35/86435/1461686313_ADdk.jpg,http://pic.xiami.net/images/artistpic/35/86435/1461686306_rVUv.jpg
兄弟本色,http://pic.xiami.net/images/artistlogo/65/14975781695665.jpg,http://pic.xiami.net/images/artistpic/82/2099990682/1481635071_wfPR.jpg,http://pic.xiami.net/images/artistpic/82/2099990682/1481635066_OTGo.jpg,http://pic.xiami.net/images/artistpic/82/2099990682/1481635016_NFTI.jpg
小人,http://pic.xiami.net/images/artistlogo/30/13871993496430.jpg,,,
Eminem,http://pic.xiami.net/images/artistlogo/53/13783782705253.jpg,http://pic.xiami.net/images/artistpic/68/11768/1245305596_t7xk.jpg,http://pic.xiami.net/images/artistpic/68/11768/1244809464_KEMY.jpg,http://pic.xiami.net/images/artistpic/68/11768/1244809469_2BDx.jpg
Flo Rida,http://pic.xiami.net/images/artistlogo/13/13907243681913.png,http://pic.xiami.net/images/artistpic/78/37478/1282029971_rVwR.jpg,http://pic.xiami.net/images/artistpic/78/37478/1282029955_wqia.jpg,http://pic.xiami.net/images/artistpic/78/37478/1283158153_cfcM.jpg
Fort Minor,http://pic.xiami.net/images/artistlogo/10/14647618688810.jpg,http://pic.xiami.net/images/artistpic/87/23887/1254653839_9wUB.jpg,http://pic.xiami.net/images/artistpic/87/23887/1254653829_BzyV.jpg,http://pic.xiami.net/images/artistpic/87/23887/1254653820_exHW.jpg
Dr. Dre,http://pic.xiami.net/images/artistlogo/82/14213910588382.jpg,http://pic.xiami.net/images/artistpic/66/11766/1272359378_6HFO.jpg,http://pic.xiami.net/images/artistpic/66/11766/1272359387_ZVwm.jpg,http://pic.xiami.net/images/artistpic/66/11766/1272359402_qb0c.jpg
2Pac,http://pic.xiami.net/images/artistlogo/5/14587513877605.jpg,http://pic.xiami.net/images/artistpic/48/3248/1272096815_IMP6.jpg,http://pic.xiami.net/images/artistpic/48/3248/1359164073_fd6d.jpg,http://pic.xiami.net/images/artistpic/48/3248/1362080929_GJa8.jpg
Will Smith,http://pic.xiami.net/images/artist/12289859962166.gif,http://pic.xiami.net/images/artistpic/2/15102/1263904125_zQhN.jpg,http://pic.xiami.net/images/artistpic/2/15102/1263904134_g4Cu.jpg,http://pic.xiami.net/images/artistpic/2/15102/1263904107_qtLV.jpg
